"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4,J3,J2";"HDR-TH_16P-P2.54-H-M-R2-C8-S2.54";3;"2541WR-2X08P";;;
2;"U4,U3,U2";"TO-263-5_L10.2-W8.9-P1.70-BR";3;"LM2596S-ADJ";;;
3;"C9,C5,C7";"CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD";3;"100uF";;;
4;"R13,R3,R12";"R0603";3;"5.1k";;;
5;"J1";"TYPE-C-SMD_TYPE-C-6P";1;"USB-C";;;
6;"";"";1;"";;;
7;"U1";"QFN-20_L3.0-W3.0-P0.40-BL-EP1.7";1;"CH224D";;;
8;"C1";"C1206";1;"10uF";;;
9;"TP2";"TestPoint_Pad_D1.5mm";1;"GND";;;
10;"C2,C6,C19,C17,C8,C18,C10";"C0805";7;"100nF";;;
11;"R11";"R0603";1;"56k";;;
12;"C3,C11";"CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD";2;"470uF 25V";;;
13;"TP3";"TestPoint_Pad_D1.5mm";1;"+13.5V";;;
14;"TP1";"TestPoint_Pad_D1.5mm";1;"+15V USB-PD";;;
15;"C30";"C0603";1;"1uF";;;
16;"D1,D3,D2";"SMA_L4.3-W2.6-LS5.2-RD";3;"SS34";;;
17;"J7,J9,J8,J6";"CONN-TH_1217754-1";4;"1217754-1";;;
18;"C32,C33,C31";"C0805";3;"22nF";;;
19;"L2,L3,L1";"IND-SMD_L13.8-W12.8";3;"100uH";;;
20;"U6";"TO-263-2_L10.0-W9.1-P5.08-LS15.2-TL";1;"L7812CD2T-TR";;;
21;"TVS3,TVS1";"D-FLAT_L4.3-W2.6-LS5.3-RD";2;"SMAJ15A_C571368";;;
22;"C16,C15";"C0603";2;"470nF";;;
23;"LED2";"LED0603-RD";1;"Green";;;
24;"PTC3";"F1206";1;"BSMD1206-150-16V";;;
25;"R9,R7,R8";"R0805";3;"1k";;;
26;"PTC1";"F1210";1;"SMD1210P200TF";;;
27;"C23,C22";"CAP-SMD_BD6.3-L6.6-W6.6-FD";2;"470uF";;;
28;"TVS2";"SOD-323_L1.8-W1.3-LS2.5-FD";1;"SD05_C502527";;;
29;"C20,C14,C24,C21,C25";"CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD";5;"470uF";;;
30;"R1,R5";"R0603";2;"10k";;;
31;"PTC2";"F1812";1;"mSMD110-33V";;;
32;"TP5";"TestPoint_Pad_D1.5mm";1;"-13.5V";;;
33;"R2,R4,R6";"R0603";3;"1k";;;
34;"LED4";"LED0603-RD";1;"Red";;;
35;"U7";"TO-263-2_L10.0-W9.2-P5.08-LS15.3-TL-CW";1;"L7805ABD2T-TR";;;
36;"U8";"TO-252-3_L6.5-W5.8-P4.58-BL";1;"CJ7912_C94173";;;
37;"TP4";"TestPoint_Pad_D1.5mm";1;"+7.5V";;;
38;"LED3";"LED0603-RD";1;"Blue";;;
39;"C4";"CAP-SMD_BD6.3-L6.6-W6.6-FD";1;"470uF 16V";;;
