"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2,U3,U4";"TO-263-5_L10.2-W8.9-P1.70-BR";3;"LM2596S-ADJ";;;
2;"C1";"C1206";1;"10uF";;;
3;"C2,C6,C8,C17,C18,C19,C10";"C0805";7;"100nF";;;
4;"C3,C11";"CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD";2;"470uF 25V";;;
5;"C4";"CAP-SMD_BD6.3-L6.6-W6.6-FD";1;"470uF 16V";;;
6;"C5,C7,C9";"CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD";3;"100uF";;;
7;"C14,C20,C21,C24,C25";"CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD";5;"470uF";;;
8;"C15,C16";"C0603";2;"470nF";;;
9;"C22,C23";"CAP-SMD_BD6.3-L6.6-W6.6-FD";2;"470uF";;;
10;"C30,C34";"C0603";2;"1uF 16V";;;
11;"C33,C32,C31";"C0805";3;"22nF";;;
12;"C35";"C0805";1;"100nF 50V";;;
13;"D1,D2,D3";"SMA_L4.3-W2.6-LS5.2-RD";3;"SS34";;;
14;"D4";"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL";1;"USBLC6-2SC6";;;
15;"J1";"TYPE-C-SMD_TYPE-C-6P";1;"USB-C";;;
16;"J9,J7,J8,J6";"CONN-TH_1217754-1";4;"1217754-1";;;
17;"J10,J11";"HDR-TH_16P-P2.54-H-M-R2-C8-S2.54";2;"2541WR-2X08P";;;
18;"L3,L2,L1";"IND-SMD_L13.8-W12.8";3;"100uH";;;
19;"LED2";"LED0603-RD";1;"Green";;;
20;"LED3";"LED0603-RD";1;"Blue";;;
21;"LED4";"LED0603-RD";1;"Red";;;
22;"R2,R4,R6";"R0603";3;"1k";;;
23;"R5,R1";"R0603";2;"10k";;;
24;"TP2";"TestPoint_Pad_D1.5mm";1;"GND";;;
25;"TVS1,TVS3";"D-FLAT_L4.3-W2.6-LS5.3-RD";2;"SMAJ15A_C571368";;;
26;"TVS2";"SOD-323_L1.8-W1.3-LS2.5-FD";1;"SD05_C502527";;;
27;"U1";"QFN-24_L4.0-W4.0-P0.50-BL-EP2.8";1;"STUSB4500QTR";;;
28;"U6";"TO-263-2_L10.0-W9.1-P5.08-LS15.2-TL";1;"L7812CD2T-TR";;;
29;"U7";"TO-263-2_L10.0-W9.2-P5.08-LS15.3-TL-CW";1;"L7805ABD2T-TR";;;
30;"U8";"TO-252-3_L6.5-W5.8-P4.58-BL";1;"CJ7912_C94173";;;
31;"Q1";"SOT-23_L2.9-W1.3-P1.90-LS2.4-BR";1;"-30V -4A";;;
32;"TP1";"TestPoint_Pad_D1.5mm";1;"+15V USB-PD";;;
33;"PTC3";"F1206";1;"BSMD1206-150-16V";;;
34;"R9,R7,R8";"R0805";3;"1k";;;
35;"PTC1";"F1210";1;"SMD1210P200TF";;;
36;"PTC2";"F1812";1;"mSMD110-33V";;;
37;"TP5";"TestPoint_Pad_D1.5mm";1;"-13.5V";;;
38;"R3";"R0603";1;"5.1k";;;
39;"R11";"R0603";1;"100k";;;
40;"R12";"R0603";1;"56k";;;
41;"R13";"R0603";1;"470";;;
42;"TP4";"TestPoint_Pad_D1.5mm";1;"+7.5V";;;
43;"TP3";"TestPoint_Pad_D1.5mm";1;"+13.5V";;;
