Designator,Mid X,Mid Y,Layer,Rotation
C3,45.0000mm,77.0000mm,Top,0
C4,62.0000mm,51.0000mm,Top,0
C5,12.0000mm,76.0000mm,Top,90
C6,29.0000mm,74.0000mm,Top,0
C7,24.0000mm,37.0000mm,Top,180
C8,34.0000mm,44.0000mm,Top,0
C9,21.7000mm,12.0000mm,Top,180
C10,34.0000mm,18.0000mm,Top,0
C11,62.0000mm,30.0000mm,Top,0
C12,48.0000mm,38.0000mm,Top,0
C14,45.0000mm,81.5000mm,Top,0
C15,63.0000mm,59.0000mm,Top,90
C16,57.0000mm,37.5000mm,Top,90
C17,86.0000mm,71.0000mm,Top,0
C18,86.0000mm,43.0000mm,Top,0
C19,86.0000mm,33.0000mm,Top,0
C20,45.0000mm,72.5000mm,Top,0
C21,100.0000mm,66.0000mm,Top,0
C22,63.0000mm,42.0000mm,Top,90
C23,100.0000mm,40.0000mm,Top,0
C24,61.5000mm,17.2000mm,Top,90
C25,102.9000mm,16.2000mm,Top,180
C32,39.0000mm,61.0000mm,Top,0
C33,38.3000mm,36.0000mm,Top,0
C36,51.0000mm,79.0000mm,Top,0
C37,51.0000mm,74.5000mm,Top,0
C38,30.0000mm,81.5000mm,Top,90
C39,29.0000mm,70.5000mm,Top,0
C40,89.0000mm,79.0000mm,Top,0
C41,89.0000mm,51.0000mm,Top,0
C42,89.0000mm,25.0000mm,Top,180
C46,21.5000mm,66.0000mm,Top,180
D2,35.0000mm,50.0000mm,Top,90
D3,35.0000mm,24.0000mm,Top,90
J5,12.9000mm,57.3000mm,Bottom,0
J6,6.0000mm,48.0000mm,Top,270
J7,6.0000mm,24.0000mm,Top,270
J8,6.0000mm,12.0000mm,Top,270
J9,6.0000mm,36.0000mm,Top,270
J10,41.4000mm,12.2300mm,Top,0
J11,81.5000mm,12.2300mm,Top,0
L1,37.0000mm,77.0000mm,Top,0
L2,47.0000mm,51.0000mm,Top,0
L3,47.0000mm,25.0000mm,Top,0
LED2,63.0000mm,8.5000mm,Top,90
LED3,63.0000mm,5.1000mm,Top,90
LED4,63.0000mm,1.7000mm,Top,90
PTC1,102.0000mm,84.0000mm,Top,90
PTC2,102.0000mm,56.0000mm,Top,90
PTC3,102.0000mm,30.0000mm,Top,90
R1,26.0000mm,83.0000mm,Top,90
R2,23.0000mm,80.0000mm,Top,0
R3,34.0000mm,58.0000mm,Top,0
R4,29.0000mm,59.0000mm,Top,90
R5,34.0000mm,32.0000mm,Top,0
R6,32.0000mm,35.0000mm,Top,90
R7,58.0000mm,8.5000mm,Top,0
R8,58.0000mm,5.1000mm,Top,0
R9,58.0000mm,1.7000mm,Top,0
R20,90.0000mm,89.0000mm,Top,0
R21,90.0000mm,86.0000mm,Top,0
R22,96.0000mm,86.0000mm,Top,0
R23,90.0000mm,61.0000mm,Top,0
R24,90.0000mm,58.0000mm,Top,0
R25,96.0000mm,58.0000mm,Top,0
TVS1,106.0000mm,76.0000mm,Top,90
TVS2,106.0000mm,48.0000mm,Top,90
TVS3,106.0000mm,25.3000mm,Top,90
U2,29.0000mm,77.0000mm,Top,180
U3,23.0000mm,49.0000mm,Top,0
U4,23.0000mm,25.0000mm,Top,0
U6,77.0000mm,79.0000mm,Top,0
U7,77.0000mm,51.0000mm,Top,0
U8,77.0000mm,25.0000mm,Top,0
