Ref,Val,Package,PosX,PosY,Rot,Side
"C3","10uF 50V X7R","C1210",57.700000,76.000000,90.000000,top
"C4","470uF 10V","CAP-SMD_BD6.3-L6.6-W6.6-FD",62.000000,51.000000,0.000000,top
"C5","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",18.000000,79.000000,0.000000,top
"C6","100nF 50V","C0805",43.000000,67.000000,0.000000,top
"C7","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",24.000000,37.000000,180.000000,top
"C8","100nF 50V","C0805",34.000000,44.000000,0.000000,top
"C9","100uF 50V","CAP-SMD_BD8.0-L8.3-W8.3-LS9.0-FD",21.700000,12.000000,180.000000,top
"C10","100nF 50V","C0805",34.000000,18.000000,0.000000,top
"C11","470uF 25V","CAP-SMD_BD8.0-L8.3-W8.3-LS9.0-FD",62.000000,30.000000,0.000000,top
"C12","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",48.000000,38.000000,0.000000,top
"C14","10uF 50V X7R","C1210",57.700000,69.500000,90.000000,top
"C15","470nF","C0603",63.000000,59.000000,90.000000,top
"C16","470nF","C0603",57.000000,37.500000,90.000000,top
"C17","100nF 50V","C0805",83.000000,61.000000,0.000000,top
"C18","100nF 50V","C0805",86.000000,43.000000,0.000000,top
"C19","100nF 50V","C0805",86.000000,33.000000,0.000000,top
"C20","10uF 50V X7R","C1210",57.700000,63.000000,90.000000,top
"C21","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",99.000000,67.000000,90.000000,top
"C22","470uF 10V","CAP-SMD_BD6.3-L6.6-W6.6-FD",63.000000,42.000000,90.000000,top
"C23","470uF 10V","CAP-SMD_BD6.3-L6.6-W6.6-FD",100.000000,40.000000,0.000000,top
"C24","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",61.500000,17.200000,90.000000,top
"C25","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",102.900000,16.200000,180.000000,top
"C32","22nF","C0805",26.000000,63.000000,0.000000,top
"C33","22nF","C0805",38.300000,36.000000,0.000000,top
"C36","10uF 50V X7R","C1210",62.300000,76.000000,90.000000,top
"C37","10uF 50V X7R","C1210",62.300000,69.500000,90.000000,top
"C38","100nF 50V","C0805",44.000000,74.500000,90.000000,top
"C39","10uF 50V X7R","C1210",43.000000,63.500000,0.000000,top
"C40","47uF 25V polymer","CAP-SMD_BD6.3-L6.6-W6.6-FD",86.000000,69.000000,0.000000,top
"C41","47uF 25V polymer","CAP-SMD_BD6.3-L6.6-W6.6-FD",89.000000,51.000000,0.000000,top
"C42","47uF 25V polymer","CAP-SMD_BD6.3-L6.6-W6.6-FD",89.000000,25.000000,180.000000,top
"C46","10uF 50V X7R","C1210",28.000000,78.500000,180.000000,top
"D2","SS34","SMA_L4.3-W2.6-LS5.2-RD",33.750000,50.000000,90.000000,top
"D3","SDT5A60SA-13","SMA_Diodes_SDT5A60SA_C3024223",35.000000,24.000000,90.000000,top
"J5","PM254V-11-06-H85","HDR-TH_6P-P2.54-V-F",37.200000,60.100000,-90.000000,top
"J6","WJ500V-5.08-2P","WJ500V-5.08-2P_C8465",7.000000,37.000000,90.000000,top
"J7","WJ500V-5.08-2P","WJ500V-5.08-2P_C8465",7.000000,24.000000,90.000000,top
"J10","DW254P-2X8-L0","IDC-TH_16P-P2.54_321016RG0ABK00A01",41.400000,12.230000,0.000000,top
"J11","DW254P-2X8-L0","IDC-TH_16P-P2.54_321016RG0ABK00A01",81.500000,12.230000,0.000000,top
"L1","10uH","ASPI-0630LR_L7.5-W6.85",51.000000,70.000000,0.000000,top
"L2","100uH","IND-SMD_L13.8-W12.8",47.000000,51.000000,0.000000,top
"L3","100uH","IND-SMD_L13.8-W12.8",47.000000,25.000000,0.000000,top
