Comment,Designator,Footprint,JLCPCB Part #
0603WAF0000T5E,"R19,R20",R0603,C21189
0603WAF1003T5E,R11,R0603,C25803
0603WAF1503T5E,R12,R0603,C22807
0603WAF4700T5E,"R13,R14",R0603,C23179
0603WAF4701T5E,"R15,R16",R0603,C23162
0805W8F1002T5E,R21,R0805,C17414
AO3401A,Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,C347476
CC0603KRX7R9BB104,"C2,C35",C0603,C14663
CL10A105KB8NNNC,"C30,C34",C0603,C15849
CL31A106KBHNNNE,C1,C1206,C13585
PZ254V-11-06P,JOUT1,HDR-TH_6P-P2.54-V-M,C492405
SMAJ16A,D5,SMA_Littelfuse_SMAJ16A_C74561,C74561
STUSB4500QTR,U1,QFN-24_L4.0-W4.0-P0.50-BL-EP2.8,C2678061
TYPE-C-31-M-17,J1,USB-C-SMD_10P-P1.00-L6.8-W8.9,C283540
