Designator,Mid X,Mid Y,Layer,Rotation
C3,69.0000mm,97.0000mm,Top,0
C4,84.0000mm,67.0000mm,Top,0
C5,35.0000mm,91.0000mm,Top,90
C6,53.0000mm,94.0000mm,Top,0
C7,46.0000mm,54.0000mm,Top,180
C8,56.0000mm,60.0000mm,Top,0
C9,46.0000mm,24.0000mm,Top,180
C10,56.0000mm,30.0000mm,Top,0
C11,84.0000mm,37.0000mm,Top,0
C12,80.0000mm,24.0000mm,Top,0
C14,69.0000mm,101.5000mm,Top,0
C15,95.0000mm,75.0000mm,Top,90
C16,95.0000mm,45.0000mm,Top,90
C17,120.0000mm,89.0000mm,Top,0
C18,120.0000mm,59.0000mm,Top,0
C19,120.0000mm,45.0000mm,Top,0
C20,69.0000mm,92.5000mm,Top,0
C21,134.0000mm,84.0000mm,Top,0
C22,95.0000mm,61.0000mm,Top,90
C23,134.0000mm,54.0000mm,Top,0
C24,95.0000mm,31.0000mm,Top,90
C25,134.0000mm,24.0000mm,Top,180
C32,61.0000mm,77.0000mm,Top,0
C33,61.0000mm,47.0000mm,Top,0
C36,75.0000mm,99.0000mm,Top,0
C37,75.0000mm,94.5000mm,Top,0
C38,54.0000mm,101.5000mm,Top,90
C39,53.0000mm,90.5000mm,Top,0
C40,123.0000mm,97.0000mm,Top,0
C41,123.0000mm,67.0000mm,Top,0
C42,123.0000mm,37.0000mm,Top,180
C46,45.5000mm,86.0000mm,Top,180
D2,57.0000mm,66.0000mm,Top,90
D3,57.0000mm,36.0000mm,Top,90
J5,12.9000mm,77.3000mm,Bottom,0
J6,10.0000mm,57.0000mm,Top,90
J7,10.0000mm,29.0000mm,Top,90
J8,10.0000mm,15.0000mm,Top,90
J9,10.0000mm,43.0000mm,Top,90
J10,55.0000mm,12.2300mm,Top,0
J11,96.0000mm,12.2300mm,Top,0
L1,61.0000mm,97.0000mm,Top,0
L2,69.0000mm,67.0000mm,Top,0
L3,69.0000mm,37.0000mm,Top,0
LED2,120.0000mm,9.0000mm,Top,90
LED3,127.0000mm,9.0000mm,Top,90
LED4,134.0000mm,9.0000mm,Top,90
PTC1,140.0000mm,102.0000mm,Top,90
PTC2,140.0000mm,72.0000mm,Top,90
PTC3,140.0000mm,42.0000mm,Top,90
R1,50.0000mm,103.0000mm,Top,90
R2,47.0000mm,100.0000mm,Top,0
R3,56.0000mm,74.0000mm,Top,0
R4,51.0000mm,75.0000mm,Top,90
R5,56.0000mm,44.0000mm,Top,0
R6,51.0000mm,45.0000mm,Top,90
R7,120.0000mm,14.0000mm,Top,90
R8,127.0000mm,14.0000mm,Top,90
R9,134.0000mm,14.0000mm,Top,90
R20,124.0000mm,107.0000mm,Top,0
R21,124.0000mm,104.0000mm,Top,0
R22,130.0000mm,104.0000mm,Top,0
R23,124.0000mm,77.0000mm,Top,0
R24,124.0000mm,74.0000mm,Top,0
R25,130.0000mm,74.0000mm,Top,0
TVS1,144.0000mm,92.0000mm,Top,90
TVS2,144.0000mm,62.0000mm,Top,90
TVS3,144.0000mm,32.0000mm,Top,90
U2,53.0000mm,97.0000mm,Top,180
U3,45.0000mm,67.0000mm,Top,0
U4,45.0000mm,37.0000mm,Top,0
U6,111.0000mm,97.0000mm,Top,0
U7,111.0000mm,67.0000mm,Top,0
U8,111.0000mm,37.0000mm,Top,0
