Ref,Val,Package,PosX,PosY,Rot,Side
"J5","PM254V-11-06-H85","HDR-TH_6P-P2.54-V-F",12.900000,77.300000,0.000000,bottom
"C3","10uF 50V X7R","C1210",69.000000,97.000000,0.000000,top
"C4","470uF 10V","CAP-SMD_BD6.3-L6.6-W6.6-FD",84.000000,67.000000,0.000000,top
"C5","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",35.000000,91.000000,90.000000,top
"C6","100nF 50V","C0805",53.000000,94.000000,0.000000,top
"C7","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",46.000000,54.000000,180.000000,top
"C8","100nF 50V","C0805",56.000000,60.000000,0.000000,top
"C9","100uF 50V","CAP-SMD_BD8.0-L8.3-W8.3-LS9.0-FD",46.000000,24.000000,180.000000,top
"C10","100nF 50V","C0805",56.000000,30.000000,0.000000,top
"C11","470uF 25V","CAP-SMD_BD8.0-L8.3-W8.3-LS9.0-FD",84.000000,37.000000,0.000000,top
"C12","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",80.000000,24.000000,0.000000,top
"C14","10uF 50V X7R","C1210",69.000000,101.500000,0.000000,top
"C15","470nF","C0603",95.000000,75.000000,90.000000,top
"C16","470nF","C0603",95.000000,45.000000,90.000000,top
"C17","100nF 50V","C0805",120.000000,89.000000,0.000000,top
"C18","100nF 50V","C0805",120.000000,59.000000,0.000000,top
"C19","100nF 50V","C0805",120.000000,45.000000,0.000000,top
"C20","10uF 50V X7R","C1210",69.000000,92.500000,0.000000,top
"C21","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",134.000000,84.000000,0.000000,top
"C22","470uF 10V","CAP-SMD_BD6.3-L6.6-W6.6-FD",95.000000,61.000000,90.000000,top
"C23","470uF 10V","CAP-SMD_BD6.3-L6.6-W6.6-FD",134.000000,54.000000,0.000000,top
"C24","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",95.000000,31.000000,90.000000,top
"C25","470uF 35V","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",134.000000,24.000000,180.000000,top
"C32","22nF","C0805",61.000000,77.000000,0.000000,top
"C33","22nF","C0805",61.000000,47.000000,0.000000,top
"C36","10uF 50V X7R","C1210",75.000000,99.000000,0.000000,top
"C37","10uF 50V X7R","C1210",75.000000,94.500000,0.000000,top
"C38","100nF 50V","C0805",54.000000,101.500000,90.000000,top
"C39","10uF 50V X7R","C1210",53.000000,90.500000,0.000000,top
"C40","47uF 25V polymer","CAP-SMD_BD6.3-L6.6-W6.6-FD",123.000000,97.000000,0.000000,top
"C41","47uF 25V polymer","CAP-SMD_BD6.3-L6.6-W6.6-FD",123.000000,67.000000,0.000000,top
"C42","47uF 25V polymer","CAP-SMD_BD6.3-L6.6-W6.6-FD",123.000000,37.000000,180.000000,top
"C46","10uF 50V X7R","C1210",45.500000,86.000000,180.000000,top
"D2","SS34","SMA_L4.3-W2.6-LS5.2-RD",57.000000,66.000000,90.000000,top
"D3","SDT5A60SA-13","SMA_Diodes_SDT5A60SA_C3024223",57.000000,36.000000,90.000000,top
"J6","63951-1","CONN-TH_1217754-1",10.000000,57.000000,90.000000,top
"J7","63951-1","CONN-TH_1217754-1",10.000000,29.000000,90.000000,top
"J8","63951-1","CONN-TH_1217754-1",10.000000,15.000000,90.000000,top
"J9","63951-1","CONN-TH_1217754-1",10.000000,43.000000,90.000000,top
"J10","DW254P-2X8-L0","IDC-TH_16P-P2.54_321016RG0ABK00A01",55.000000,12.230000,0.000000,top
"J11","DW254P-2X8-L0","IDC-TH_16P-P2.54_321016RG0ABK00A01",96.000000,12.230000,0.000000,top
"L1","10uH","ASPI-0630LR_L7.5-W6.85",61.000000,97.000000,0.000000,top
"L2","100uH","IND-SMD_L13.8-W12.8",69.000000,67.000000,0.000000,top
"L3","100uH","IND-SMD_L13.8-W12.8",69.000000,37.000000,0.000000,top
"LED2","Green","LED0603-RD",120.000000,9.000000,90.000000,top
"LED3","Blue","LED0603-RD",127.000000,9.000000,90.000000,top
"LED4","Red","LED0603-RD",134.000000,9.000000,90.000000,top
"PTC1","SMD1210P150TF/16","F1210",140.000000,102.000000,90.000000,top
"PTC2","mSMD110-33V","F1812",140.000000,72.000000,90.000000,top
"PTC3","BSMD1206-150-16V","F1206",140.000000,42.000000,90.000000,top
