Designator,Mid X,Mid Y,Layer,Rotation
C1,3.8540mm,-12.6200mm,Top,270
C2,17.3780mm,-21.0020mm,Top,180
C30,17.3780mm,-23.0340mm,Top,180
C34,17.3780mm,-28.3680mm,Top,0
C35,22.1420mm,-14.3980mm,Top,180
D5,22.2500mm,-10.0800mm,Top,0
J1,13.5060mm,-5.0000mm,Top,180
JOUT1,12.9000mm,-37.7000mm,Top,0
Q1,18.5860mm,-13.6360mm,Top,90
R11,22.1420mm,-16.1760mm,Top,0
R12,23.4120mm,-12.6200mm,Top,180
R13,5.6320mm,-23.2880mm,Top,0
R14,15.7920mm,-17.1920mm,Top,270
R15,17.3780mm,-26.5900mm,Top,180
R16,17.3780mm,-24.8120mm,Top,180
R19,14.0140mm,-17.1920mm,Top,90
R20,8.8300mm,-16.6840mm,Top,90
R21,4.3620mm,-20.4940mm,Top,180
U1,11.7280mm,-23.2880mm,Top,180
