Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/50V","C1206",3.854000,-12.620000,-90.000000,top
"C2","100nF/50V","C0603",17.378000,-21.002000,180.000000,top
"C30","1uF/50V","C0603",17.378000,-23.034000,180.000000,top
"C34","1uF/50V","C0603",17.378000,-28.368000,0.000000,top
"C35","100nF/50V","C0603",22.142000,-14.398000,180.000000,top
"D5","SMAJ16A-E3/61","SMA_Vishay_SMAJ16A_C968650",22.250000,-10.080000,0.000000,top
"J1","TYPE-C-31-M-17","USB-C-SMD_10P-P1.00-L6.8-W8.9",13.506000,-5.000000,180.000000,top
"JOUT1","2.54mm 1x6 male","HDR-TH_6P-P2.54-V-M",12.900000,-37.700000,0.000000,top
"Q1","AO3401A","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",18.586000,-13.636000,90.000000,top
"R11","100k","R0603",22.142000,-16.176000,0.000000,top
"R12","150k","R0603",23.412000,-12.620000,180.000000,top
"R13","470R","R0603",5.632000,-23.288000,0.000000,top
"R14","470R","R0603",15.792000,-17.192000,-90.000000,top
"R15","4.7k","R0603",17.378000,-26.590000,180.000000,top
"R16","4.7k","R0603",17.378000,-24.812000,180.000000,top
"R19","0R","R0603",14.014000,-17.192000,90.000000,top
"R20","0R","R0603",8.830000,-16.684000,90.000000,top
"R21","10k","R0805",4.362000,-20.494000,180.000000,top
"U1","STUSB4500QTR","QFN-24_L4.0-W4.0-P0.50-BL-EP2.8",11.728000,-23.288000,180.000000,top
