Comment,Designator,Footprint,JLCPCB Part #
0603WAF1001T5E,R4,R0603,C21190
0603WAF4301T5E,R3,R0603,C23159
0805W8F1001T5E,"R7,R8,R9",R0805,C17513
25SVPF47M,"C40,C41,C42",CAP-SMD_BD6.3-L6.6-W6.6-FD,C136280
AP63201WU-7,U2,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C2071044
ASPI-0630LR-100M-T15,L1,ASPI-0630LR_L7.5-W6.85,C1334133
BSMD1206-150-16V,PTC3,F1206,C883133
CC0805KRX7R9BB104,"C6,C8,C10,C17,C18,C19,C38",C0805,C1711
CL10B474KA8NNNC,"C15,C16",C0603,C1623
CL21B223KBANNNC,"C32,C33",C0805,C1729
CYA1265-100UH,"L2,L3",IND-SMD_L13.8-W12.8,C19268674
DW254P-2X8-L0,"J10,J11",IDC-TH_16P-P2.54_321016RG0ABK00A01,C4749189
EFVH035ADA471M10B0,"C5,C7,C12,C21,C24,C25",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,C22387780
GRM32ER71H106KA12L,"C3,C14,C20,C36,C37,C39,C46",C1210,C77102
GVT1E477M0810CNVC,C11,CAP-SMD_BD8.0-L8.3-W8.3-LS9.0-FD,C2983319
KT-0603B,LED3,LED0603-RD,C2288
KT-0603R,LED4,LED0603-RD,C2286
KT-0603YG,LED2,LED0603-RD,C2289
LM2596S-ADJ,"U3,U4",TO-263-5_L10.2-W8.9-P1.70-BR,C347423
LT1963AEQ#PBF,"U6,U7",TO-263-5_L10.6-W9.6-P1.70-LS15.9-BR,C107286
LT3015EQ-12#PBF,U8,DD-PAK-5_L10.2-W8.9-P1.70-LS14.0-BR,C666307
PM254V-11-06-H85,J5,HDR-TH_6P-P2.54-V-F,C2832269
RT0603BRD0710K5L,R5,R0603,C861077
RT0603BRD0710KL,R2,R0603,C95204
RT0603BRD071KL,"R6,R22,R25",R0603,C110776
RT0603BRD0733RL,R24,R0603,C861332
RT0603BRD073K09L,R23,R0603,C861371
RT0603BRD07680RL,R21,R0603,C861519
RT0603BRD078K2L,R20,R0603,C861589
RT0603BRE07158KL,R1,R0603,C861679
RVT1A471M0607,"C4,C22,C23",CAP-SMD_BD6.3-L6.6-W6.6-FD,C335982
RVT1H101M0810,C9,CAP-SMD_BD8.0-L8.3-W8.3-LS9.0-FD,C970687
SDT5A60SA-13,D3,SMA_Diodes_SDT5A60SA_C3024223,C3024223
SMAJ15A,"TVS1,TVS3",D-FLAT_L4.3-W2.6-LS5.3-RD,C571368
SMAJ6.5A,TVS2,D-FLAT_L4.3-W2.6-LS5.3-RD,C87267
SMD1210P150TF/16,PTC1,F1210,C7529589
SS34,D2,SMA_L4.3-W2.6-LS5.2-RD,C8678
WJ500V-5.08-2P,"J6,J7",WJ500V-5.08-2P_C8465,C8465
mSMD110-33V,PTC2,F1812,C70119
